,name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
0,6587,6,6,1980,1705,8.4,927000.0,2589,4014,1047,54,19000000.0,46998772.0,2319,146.0
1,5573,6,1,1980,1492,5.8,65000.0,2269,1632,327,55,4500000.0,58853106.0,731,104.0
2,5142,4,0,1980,1771,8.7,1200000.0,1111,2567,1745,55,18000000.0,538375067.0,1540,124.0
3,286,4,4,1980,1492,7.7,221000.0,1301,2000,2246,55,3500000.0,83453539.0,1812,88.0
4,1027,6,4,1980,1543,7.3,108000.0,1054,521,410,55,6000000.0,39846344.0,1777,98.0
5,2109,6,10,1980,2502,6.4,123000.0,2528,4362,241,55,550000.0,39754601.0,1812,95.0
6,5574,6,0,1980,1771,7.9,188000.0,1412,838,1277,55,27000000.0,115229890.0,2281,133.0
7,4436,6,3,1980,699,8.2,330000.0,1829,1769,2240,55,18000000.0,23402427.0,631,129.0
8,5281,4,0,1980,1753,6.8,101000.0,2306,1979,877,55,54000000.0,108185706.0,883,127.0
9,6213,6,3,1980,2286,7.0,10000.0,2864,423,589,55,10000000.0,15795189.0,2272,100.0
10,463,4,0,1980,674,6.1,18000.0,357,3985,483,55,15000000.0,70687344.0,2190,116.0
11,5920,4,1,1980,2987,7.3,54000.0,1199,1832,1949,44,5000000.0,30031783.0,522,109.0
12,4315,4,1,1980,626,5.3,30000.0,2352,2333,2262,55,20000000.0,49823037.0,1812,114.0
13,4084,6,6,1980,3211,7.7,49000.0,2388,2327,678,55,6000000.0,54766923.0,1812,124.0
14,1687,6,5,1980,1543,7.1,37000.0,318,520,1850,55,6500000.0,31899000.0,1074,104.0
15,5024,4,6,1980,3021,7.2,27000.0,1243,3548,465,55,5100000.0,9709597.0,1935,103.0
16,1900,6,6,1980,2286,6.6,21000.0,49,735,707,55,,21202829.0,1637,134.0
17,92,4,4,1980,699,6.9,29000.0,514,3262,1110,55,10000000.0,103300686.0,1304,109.0
18,5865,6,10,1980,1108,6.8,66000.0,1374,2104,24,55,1000000.0,21448782.0,74,89.0
19,5189,6,4,1980,626,6.8,26000.0,2561,556,878,55,,101300000.0,731,111.0
20,1387,6,5,1980,945,6.5,20000.0,2891,4451,37,57,11000000.0,19814523.0,1532,102.0
21,2451,6,1,1980,160,6.8,14000.0,1892,2926,1525,55,44000000.0,3484523.0,1819,219.0
22,5845,4,0,1980,281,6.7,22000.0,744,4192,1514,55,12000000.0,16647800.0,500,103.0
23,7445,4,8,1980,585,5.3,12000.0,2371,3528,2033,55,20000000.0,22762571.0,2281,96.0
24,7127,4,6,1980,1913,6.4,14000.0,1153,12,1318,55,,46918287.0,1812,132.0
25,346,6,10,1980,773,6.9,33000.0,1583,3234,2766,55,,19853892.0,2319,102.0
26,3263,6,4,1980,2059,6.5,5100.0,2433,2483,2565,55,,34326249.0,2126,96.0
27,4442,4,0,1980,281,5.0,4100.0,1282,33,1140,54,36000000.0,,1306,115.0
28,980,6,5,1980,1771,7.2,17000.0,2673,4386,2252,55,9000000.0,37121708.0,2253,131.0
29,362,6,5,1980,886,6.2,22000.0,2151,3326,2211,55,4800000.0,22743674.0,1812,117.0
30,3796,4,4,1980,3296,7.1,8900.0,2811,83,430,55,,22482952.0,2253,102.0
31,4373,6,10,1980,1467,5.4,16000.0,2143,4455,1600,6,,14796236.0,1216,92.0
32,4987,4,0,1980,342,5.3,15000.0,1041,1587,342,55,,66132626.0,2281,100.0
33,1103,4,6,1980,160,6.1,604.0,1644,958,2372,55,5100000.0,534816.0,603,97.0
34,4785,4,4,1980,699,6.7,9100.0,1225,3136,914,55,,43995918.0,1934,102.0
35,4362,6,4,1980,2818,6.2,24000.0,1091,3107,914,55,10000000.0,69847348.0,2319,109.0
36,6008,6,4,1980,2452,6.3,4300.0,855,1358,2665,55,4000000.0,10000000.0,1869,91.0
37,3721,6,4,1980,2965,6.0,11000.0,1598,3642,2283,55,3000000.0,6342668.0,552,101.0
38,6102,4,6,1980,699,5.9,4000.0,2296,3826,1576,55,,27118000.0,899,115.0
39,1244,4,3,1980,2195,7.5,17000.0,1884,4201,2462,55,,67182787.0,2281,124.0
